"timestamp","cpu_percent","mem_available_mb","pagefile_percent","disk_time_percent","disk_bytes_sec","gpu_temp_c","gpu_util_percent","gpu_mem_util_percent","gpu_mem_used_mb","gpu_mem_total_mb","gpu_power_w","gpu_power_limit_w","gpu_clock_mhz","gpu_mem_clock_mhz","gpu_pstate","top_process","top_process_cpu_seconds","game_process","game_working_set_mb"
"2026-05-31T17:06:41","0.01","39281","0.01","0.25","1330906.41","68","89","30","10742","16376","229.36","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","619.2","TheOuterWorlds2-WinGDK-Shipping","8988.4"
"2026-05-31T17:06:46","0.01","39269","0.01","0.09","1480161.27","69","85","27","10778","16376","234.13","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","637.4","TheOuterWorlds2-WinGDK-Shipping","8987.8"
"2026-05-31T17:06:51","0.01","39224","0.01","0.98","13191559.7","68","84","29","10742","16376","232.26","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","656.7","TheOuterWorlds2-WinGDK-Shipping","8974.1"
"2026-05-31T17:06:56","0.01","39268","0.01","0.75","5225080.77","67","79","29","10758","16376","235.69","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","676.5","TheOuterWorlds2-WinGDK-Shipping","9038.9"
"2026-05-31T17:07:02","0.01","39289","0.01","0.68","6954921.09","68","84","27","10787","16376","233.98","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","698.9","TheOuterWorlds2-WinGDK-Shipping","8943.1"
"2026-05-31T17:07:07","0.01","39194","0.01","0.02","133951.05","70","90","30","10730","16376","241.10","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","718.3","TheOuterWorlds2-WinGDK-Shipping","8951"
"2026-05-31T17:07:12","0.01","39214","0.01","0.07","170516.5","69","88","30","10705","16376","233.44","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","737.9","TheOuterWorlds2-WinGDK-Shipping","8927.7"
"2026-05-31T17:07:17","0.01","39249","0.01","0.15","1345215.87","67","88","31","10710","16376","232.78","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","757.2","TheOuterWorlds2-WinGDK-Shipping","8935.4"
"2026-05-31T17:07:22","0.01","39253","0.01","0.03","174442.57","68","81","25","10709","16376","229.73","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","775.3","TheOuterWorlds2-WinGDK-Shipping","8938"
"2026-05-31T17:07:27","0.01","39156","0.01","0.37","2011334.11","66","86","25","10053","16376","202.20","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","788","TheOuterWorlds2-WinGDK-Shipping","8921.7"
"2026-05-31T17:07:32","0.01","39357","0.01","1.84","1398462.3","55","34","18","8444","16376","49.57","320.00","840","5001","P3","TheOuterWorlds2-WinGDK-Shipping","802.1","TheOuterWorlds2-WinGDK-Shipping","8863.9"
"2026-05-31T17:07:37","0.01","39115","0.01","0.5","5020770.22","65","83","24","10386","16376","212.06","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","816.3","TheOuterWorlds2-WinGDK-Shipping","9144"
"2026-05-31T17:07:42","0.01","38505","0.01","0.1","377005.63","53","28","13","8689","16376","48.66","320.00","825","5001","P3","TheOuterWorlds2-WinGDK-Shipping","833.5","TheOuterWorlds2-WinGDK-Shipping","9781.1"
"2026-05-31T17:07:47","0.01","39262","0.01","0.07","932781.2","54","0","1","11181","16376","70.83","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","846.8","TheOuterWorlds2-WinGDK-Shipping","8945.6"
"2026-05-31T17:07:53","0.01","39306","0.01","0.09","377324.7","57","40","5","10746","16376","108.85","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","864.2","TheOuterWorlds2-WinGDK-Shipping","8929.8"
